country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
Afghanistan,,,,,22,,,,,,,,,,,,25
Algeria,,,,,,,,,2,6,1,1,0,,,,
Angola,,,,,,,,,,25600,13400,9470,14400,38600,12500,13800,10200
Argentina,,,,,,,,,,,,0,0,0,0,,
Armenia,,,,,,,,,0,0,,0,0,0,0,0,0
Azerbaijan,,,,,,,,,0,0,,0,0,0,0,0,0
Bangladesh,,,,,,1390,794,469,528,552,484,470,598,1250,411,,
Belize,,,,,,,,,,,,0,0,,0,,1
Benin,,,,,,,,,682,544,740,468,707,560,944,322,1390
Bhutan,,,,,,,25,14,17,,,14,11,15,5,5,6
Bolivia,,,,,,,,,23,,,,4,2,0,0,0
Botswana,,,,,,,,141,23,49,30,27,23,18,19,11,42
Brazil,,,,,,,,,,,,142,93,103,100,122,97
Burkina Faso,,,,,,,,,2620,2810,2740,4230,4030,4860,4210,5220,8080
Burundi,,,,,,,,,,,579,417,483,425,707,1940,434
Cambodia,1020,1160,1410,1100,1010,614,745,811,621,891,608,476,457,492,382,296,396
Cameroon,,,,,,,,,,,,,,,,836,930
Cape Verde,,,,,,,,,,,,0,1,2,2,1,7
Central African Republic,,,,,,,,,374,484,,535,,417,859,668,865
Chad,,,,,,,,,,,,936,944,970,,,815
China,35,,52,19,43,34,30,46,24,67,39,28,42,52,31,48,38
Colombia,,,,,,,,,,,,58,40,24,25,28,53
Comoros,,,,,,,,,,50,82,16,,,28,92,56
"Congo, Dem. Rep.",,,,,,,,,,,2540,,1930,16500,,,24400
"Congo, Rep.",,,,,,,,,,,,,,,,,253
Costa Rica,,,,,,,,,,,,0,0,0,,,
Cote d'Ivoire,,,,,,,,,1340,974,730,,,,,,
Dominican Republic,,,,,,,,,14,,,16,11,12,16,16,10
Ecuador,,,,,,,,,16,,,,0,0,,,
Egypt,,,,,0,,,,,,,,,0,0,,0
El Salvador,,,,,,,,,,,,0,0,0,0,0,0
Eritrea,,,,,,,,,404,169,94,129,85,70,16,32,17
Eswatini,,,,,,,,,109,149,,55,53,30,28,17,15
Ethiopia,,,,,,,,,,,1110,1680,1610,2140,3330,1090,1360
Gabon,,,,,,,,,,,,91,,,,474,79
Georgia,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0
Ghana,,,,,,,,,2800,2830,3230,1720,1920,1680,1260,1760,2830
Guatemala,,,,,,,,,9,,,,0,0,1,0,1
Guinea,,,,,,,,,13,13,441,517,440,586,528,490,
Guinea-Bissau,,,,,,,,,,,1070,635,780,1140,565,565,507
Guyana,,,,,,,,,34,,,,,,8,22,20
Haiti,,,,,,,,,25,,,16,,16,,29,32
Honduras,,,,,,,,,,,,0,0,0,,1,0
India,,,,,,,2800,879,666,,938,1020,973,1010,949,963,1710
Indonesia,,,,,,,148,199,45,,,68,197,,,,494
Iran,,,,,,,,22,,3,4,2,2,5,1,1,1
Iraq,,,,,0,,,,,,,0,0,0,0,0,0
Kenya,,,,,,,,,665,1550,683,,135,,,,
Kyrgyz Republic,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Lao,372,457,438,418,609,620,608,606,427,338,350,244,195,187,105,77,21
Liberia,,,,,,,,,,,,,,,,41,877
Madagascar,,,,,,,,,,640,591,1300,1270,1090,1190,1410,590
Malawi,57700,,,,,,,36000,,4750,7140,3360,5780,4770,3460,5070,7130
Malaysia,43,,25,23,28,35,40,25,27,21,35,46,39,21,35,33,21
Mali,,,,,,,,,,583,748,562,826,1310,1010,1290,1910
Mauritania,,,,,,,,,279,525,491,337,100,,,,67
